phn	cls	pi
S-sta-AY	XXX	601
S-sta-AW	XXX	602
TH-sta-sta	XXX	603
TH-sta-stp	XXX	604
TH-sta-sil	XXX	605
TH-sta-spn	XXX	606
TH-sta-P	XXX	607
TH-sta-T	XXX	608
TH-sta-K	XXX	609
TH-sta-B	XXX	610
TH-sta-D	XXX	611
TH-sta-G	XXX	612
TH-sta-CH	XXX	613
TH-sta-JH	XXX	614
TH-sta-F	XXX	615
TH-sta-S	XXX	616
TH-sta-TH	XXX	617
TH-sta-SH	XXX	618
TH-sta-HH	XXX	619
TH-sta-V	XXX	620
TH-sta-Z	XXX	621
TH-sta-DH	XXX	622
TH-sta-ZH	XXX	623
TH-sta-M	XXX	624
TH-sta-N	XXX	625
TH-sta-NG	XXX	626
TH-sta-L	XXX	627
TH-sta-R	XXX	628
TH-sta-Y	XXX	629
TH-sta-W	XXX	630
TH-sta-IY	XXX	631
TH-sta-IH	XXX	632
TH-sta-UW	XXX	633
TH-sta-UH	XXX	634
TH-sta-EH	XXX	635
TH-sta-ER	XXX	636
TH-sta-AO	XXX	637
TH-sta-AE	XXX	638
TH-sta-AH	XXX	639
TH-sta-AA	XXX	640
TH-sta-EY	XXX	641
TH-sta-OW	XXX	642
TH-sta-OY	XXX	643
TH-sta-AY	XXX	644
TH-sta-AW	XXX	645
SH-sta-sta	XXX	646
SH-sta-stp	XXX	647
SH-sta-sil	XXX	648
SH-sta-spn	XXX	649
SH-sta-P	XXX	650
SH-sta-T	XXX	651
SH-sta-K	XXX	652
SH-sta-B	XXX	653
SH-sta-D	XXX	654
SH-sta-G	XXX	655
SH-sta-CH	XXX	656
SH-sta-JH	XXX	657
SH-sta-F	XXX	658
SH-sta-S	XXX	659
SH-sta-TH	XXX	660
SH-sta-SH	XXX	661
SH-sta-HH	XXX	662
SH-sta-V	XXX	663
SH-sta-Z	XXX	664
SH-sta-DH	XXX	665
SH-sta-ZH	XXX	666
SH-sta-M	XXX	667
SH-sta-N	XXX	668
SH-sta-NG	XXX	669
SH-sta-L	XXX	670
SH-sta-R	XXX	671
SH-sta-Y	XXX	672
SH-sta-W	XXX	673
SH-sta-IY	XXX	674
SH-sta-IH	XXX	675
SH-sta-UW	XXX	676
SH-sta-UH	XXX	677
SH-sta-EH	XXX	678
SH-sta-ER	XXX	679
SH-sta-AO	XXX	680
SH-sta-AE	XXX	681
SH-sta-AH	XXX	682
SH-sta-AA	XXX	683
SH-sta-EY	XXX	684
SH-sta-OW	XXX	685
SH-sta-OY	XXX	686
SH-sta-AY	XXX	687
SH-sta-AW	XXX	688
HH-sta-sta	XXX	689
HH-sta-stp	XXX	690
HH-sta-sil	XXX	691
HH-sta-spn	XXX	692
HH-sta-P	XXX	693
HH-sta-T	XXX	694
HH-sta-K	XXX	695
HH-sta-B	XXX	696
HH-sta-D	XXX	697
HH-sta-G	XXX	698
HH-sta-CH	XXX	699
HH-sta-JH	XXX	700
HH-sta-F	XXX	701
HH-sta-S	XXX	702
HH-sta-TH	XXX	703
HH-sta-SH	XXX	704
HH-sta-HH	XXX	705
HH-sta-V	XXX	706
HH-sta-Z	XXX	707
HH-sta-DH	XXX	708
HH-sta-ZH	XXX	709
HH-sta-M	XXX	710
HH-sta-N	XXX	711
HH-sta-NG	XXX	712
HH-sta-L	XXX	713
HH-sta-R	XXX	714
HH-sta-Y	XXX	715
HH-sta-W	XXX	716
HH-sta-IY	XXX	717
HH-sta-IH	XXX	718
HH-sta-UW	XXX	719
HH-sta-UH	XXX	720
HH-sta-EH	XXX	721
HH-sta-ER	XXX	722
HH-sta-AO	XXX	723
HH-sta-AE	XXX	724
HH-sta-AH	XXX	725
HH-sta-AA	XXX	726
HH-sta-EY	XXX	727
HH-sta-OW	XXX	728
HH-sta-OY	XXX	729
HH-sta-AY	XXX	730
HH-sta-AW	XXX	731
V-sta-sta	XXX	732
V-sta-stp	XXX	733
V-sta-sil	XXX	734
V-sta-spn	XXX	735
V-sta-P	XXX	736
V-sta-T	XXX	737
V-sta-K	XXX	738
V-sta-B	XXX	739
V-sta-D	XXX	740
V-sta-G	XXX	741
V-sta-CH	XXX	742
V-sta-JH	XXX	743
V-sta-F	XXX	744
V-sta-S	XXX	745
V-sta-TH	XXX	746
V-sta-SH	XXX	747
V-sta-HH	XXX	748
V-sta-V	XXX	749
V-sta-Z	XXX	750
V-sta-DH	XXX	751
V-sta-ZH	XXX	752
V-sta-M	XXX	753
V-sta-N	XXX	754
V-sta-NG	XXX	755
V-sta-L	XXX	756
V-sta-R	XXX	757
V-sta-Y	XXX	758
V-sta-W	XXX	759
V-sta-IY	XXX	760
V-sta-IH	XXX	761
V-sta-UW	XXX	762
V-sta-UH	XXX	763
V-sta-EH	XXX	764
V-sta-ER	XXX	765
V-sta-AO	XXX	766
V-sta-AE	XXX	767
V-sta-AH	XXX	768
V-sta-AA	XXX	769
V-sta-EY	XXX	770
V-sta-OW	XXX	771
V-sta-OY	XXX	772
V-sta-AY	XXX	773
V-sta-AW	XXX	774
Z-sta-sta	XXX	775
Z-sta-stp	XXX	776
Z-sta-sil	XXX	777
Z-sta-spn	XXX	778
Z-sta-P	XXX	779
Z-sta-T	XXX	780
Z-sta-K	XXX	781
Z-sta-B	XXX	782
Z-sta-D	XXX	783
Z-sta-G	XXX	784
Z-sta-CH	XXX	785
Z-sta-JH	XXX	786
Z-sta-F	XXX	787
Z-sta-S	XXX	788
Z-sta-TH	XXX	789
Z-sta-SH	XXX	790
Z-sta-HH	XXX	791
Z-sta-V	XXX	792
Z-sta-Z	XXX	793
Z-sta-DH	XXX	794
Z-sta-ZH	XXX	795
Z-sta-M	XXX	796
Z-sta-N	XXX	797
Z-sta-NG	XXX	798
Z-sta-L	XXX	799
Z-sta-R	XXX	800
Z-sta-Y	XXX	801
Z-sta-W	XXX	802
Z-sta-IY	XXX	803
Z-sta-IH	XXX	804
Z-sta-UW	XXX	805
Z-sta-UH	XXX	806
Z-sta-EH	XXX	807
Z-sta-ER	XXX	808
Z-sta-AO	XXX	809
Z-sta-AE	XXX	810
Z-sta-AH	XXX	811
Z-sta-AA	XXX	812
Z-sta-EY	XXX	813
Z-sta-OW	XXX	814
Z-sta-OY	XXX	815
Z-sta-AY	XXX	816
Z-sta-AW	XXX	817
DH-sta-sta	XXX	818
DH-sta-stp	XXX	819
DH-sta-sil	XXX	820
DH-sta-spn	XXX	821
DH-sta-P	XXX	822
DH-sta-T	XXX	823
DH-sta-K	XXX	824
DH-sta-B	XXX	825
DH-sta-D	XXX	826
DH-sta-G	XXX	827
DH-sta-CH	XXX	828
DH-sta-JH	XXX	829
DH-sta-F	XXX	830
DH-sta-S	XXX	831
DH-sta-TH	XXX	832
DH-sta-SH	XXX	833
DH-sta-HH	XXX	834
DH-sta-V	XXX	835
DH-sta-Z	XXX	836
DH-sta-DH	XXX	837
DH-sta-ZH	XXX	838
DH-sta-M	XXX	839
DH-sta-N	XXX	840
DH-sta-NG	XXX	841
DH-sta-L	XXX	842
DH-sta-R	XXX	843
DH-sta-Y	XXX	844
DH-sta-W	XXX	845
DH-sta-IY	XXX	846
DH-sta-IH	XXX	847
DH-sta-UW	XXX	848
DH-sta-UH	XXX	849
DH-sta-EH	XXX	850
DH-sta-ER	XXX	851
DH-sta-AO	XXX	852
DH-sta-AE	XXX	853
DH-sta-AH	XXX	854
DH-sta-AA	XXX	855
DH-sta-EY	XXX	856
DH-sta-OW	XXX	857
DH-sta-OY	XXX	858
DH-sta-AY	XXX	859
DH-sta-AW	XXX	860
ZH-sta-sta	XXX	861
ZH-sta-stp	XXX	862
ZH-sta-sil	XXX	863
ZH-sta-spn	XXX	864
ZH-sta-P	XXX	865
ZH-sta-T	XXX	866
ZH-sta-K	XXX	867
ZH-sta-B	XXX	868
ZH-sta-D	XXX	869
ZH-sta-G	XXX	870
ZH-sta-CH	XXX	871
ZH-sta-JH	XXX	872
ZH-sta-F	XXX	873
ZH-sta-S	XXX	874
ZH-sta-TH	XXX	875
ZH-sta-SH	XXX	876
ZH-sta-HH	XXX	877
ZH-sta-V	XXX	878
ZH-sta-Z	XXX	879
ZH-sta-DH	XXX	880
ZH-sta-ZH	XXX	881
ZH-sta-M	XXX	882
ZH-sta-N	XXX	883
ZH-sta-NG	XXX	884
ZH-sta-L	XXX	885
ZH-sta-R	XXX	886
ZH-sta-Y	XXX	887
ZH-sta-W	XXX	888
ZH-sta-IY	XXX	889
ZH-sta-IH	XXX	890
ZH-sta-UW	XXX	891
ZH-sta-UH	XXX	892
ZH-sta-EH	XXX	893
ZH-sta-ER	XXX	894
ZH-sta-AO	XXX	895
ZH-sta-AE	XXX	896
ZH-sta-AH	XXX	897
ZH-sta-AA	XXX	898
ZH-sta-EY	XXX	899
ZH-sta-OW	XXX	900
ZH-sta-OY	XXX	901
ZH-sta-AY	XXX	902
ZH-sta-AW	XXX	903
M-sta-sta	XXX	904
M-sta-stp	XXX	905
M-sta-sil	XXX	906
M-sta-spn	XXX	907
M-sta-P	XXX	908
M-sta-T	XXX	909
M-sta-K	XXX	910
M-sta-B	XXX	911
M-sta-D	XXX	912
M-sta-G	XXX	913
M-sta-CH	XXX	914
M-sta-JH	XXX	915
M-sta-F	XXX	916
M-sta-S	XXX	917
M-sta-TH	XXX	918
M-sta-SH	XXX	919
M-sta-HH	XXX	920
M-sta-V	XXX	921
M-sta-Z	XXX	922
M-sta-DH	XXX	923
M-sta-ZH	XXX	924
M-sta-M	XXX	925
M-sta-N	XXX	926
M-sta-NG	XXX	927
M-sta-L	XXX	928
M-sta-R	XXX	929
M-sta-Y	XXX	930
M-sta-W	XXX	931
M-sta-IY	XXX	932
M-sta-IH	XXX	933
M-sta-UW	XXX	934
M-sta-UH	XXX	935
M-sta-EH	XXX	936
M-sta-ER	XXX	937
M-sta-AO	XXX	938
M-sta-AE	XXX	939
M-sta-AH	XXX	940
M-sta-AA	XXX	941
M-sta-EY	XXX	942
M-sta-OW	XXX	943
M-sta-OY	XXX	944
M-sta-AY	XXX	945
M-sta-AW	XXX	946
N-sta-sta	XXX	947
N-sta-stp	XXX	948
N-sta-sil	XXX	949
N-sta-spn	XXX	950
N-sta-P	XXX	951
N-sta-T	XXX	952
N-sta-K	XXX	953
N-sta-B	XXX	954
N-sta-D	XXX	955
N-sta-G	XXX	956
N-sta-CH	XXX	957
N-sta-JH	XXX	958
N-sta-F	XXX	959
N-sta-S	XXX	960
N-sta-TH	XXX	961
N-sta-SH	XXX	962
N-sta-HH	XXX	963
N-sta-V	XXX	964
N-sta-Z	XXX	965
N-sta-DH	XXX	966
N-sta-ZH	XXX	967
N-sta-M	XXX	968
N-sta-N	XXX	969
N-sta-NG	XXX	970
N-sta-L	XXX	971
N-sta-R	XXX	972
N-sta-Y	XXX	973
N-sta-W	XXX	974
N-sta-IY	XXX	975
N-sta-IH	XXX	976
N-sta-UW	XXX	977
N-sta-UH	XXX	978
